"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.794475608237,4.36845286944353,0.237625507756991,18.383770794131,1.77210965852913e-75,2.73099819475924e-71
"ENSG00000116584",2277.88540645541,-1.03455434726965,0.0614665097060233,-16.8311874583025,1.44181245675996e-63,1.11098858855639e-59
"ENSG00000179094",743.267869871376,2.86395559361453,0.174788450243247,16.3852679603765,2.43692713169991e-60,1.25184946755424e-56
"ENSG00000189221",2383.80178566234,3.34161826486986,0.212449310281922,15.7290144196539,9.56889310458017e-56,3.68665529086713e-52
"ENSG00000120129",3440.77482388957,2.96529154689578,0.203595825164475,14.5645989769204,4.71744687868533e-48,1.45401147694839e-44
"ENSG00000148175",13494.0474329954,1.4272499190753,0.0982018291857735,14.533842504861,7.39530162160872e-48,1.8994832215102e-44
"ENSG00000178695",2685.34628213822,-2.48897149144363,0.177335470321909,-14.0353843871477,9.46816676843908e-45,2.0844845438345e-41
"ENSG00000134686",2933.67171478147,1.43954836446753,0.103670320450421,13.8858292152764,7.72017244746587e-44,1.48719471984871e-40
"ENSG00000109906",439.55316385149,5.9272774156176,0.433018572170466,13.6882752762951,1.19307645159314e-42,2.04294457727798e-39
"ENSG00000101347",14135.338374708,3.85050197772753,0.286319249679923,13.4482818812637,3.15109022938502e-41,4.85614515250526e-38
"ENSG00000096060",2630.29620112414,3.94514614776405,0.29462852501543,13.3902382586935,6.8959177729773e-41,9.6611807999412e-38
"ENSG00000166741",7542.37482163864,2.21966212737481,0.165908895814795,13.3788011575499,8.04342456436394e-41,1.03297679967844e-37
"ENSG00000125148",3695.93338384212,2.19865067703929,0.166153543241765,13.2326439397088,5.68517066562835e-40,6.73955116369219e-37
"ENSG00000162614",5646.26622026756,1.971222148661,0.149042922725035,13.2258688478463,6.22141275459093e-40,6.84844228292863e-37
"ENSG00000106976",989.026069990411,-1.85007672260837,0.146475104374122,-12.6306564553316,1.43079592572031e-36,1.46999973408505e-33
"ENSG00000187193",199.081452754371,3.25523055047331,0.26143323887313,12.4514792552948,1.37276988462856e-35,1.32223479325067e-32
"ENSG00000256235",1123.48841590487,1.28024380390474,0.103129080775569,12.4139941350862,2.1942720940532e-35,1.98917219067376e-32
"ENSG00000164125",7257.0594683533,1.0249157734324,0.0840569674978844,12.1931090775811,3.38265079069491e-34,2.89611285196662e-31
"ENSG00000177666",2639.58901198363,1.14008267018004,0.0936781715847649,12.1702062592931,4.47949149007688e-34,3.63333912387236e-31
"ENSG00000198624",2020.08800501421,2.814189328049,0.241344841182586,11.6604494807493,2.02968081389385e-31,1.5639705511459e-28
"ENSG00000123562",5008.58102844175,1.0046375699447,0.0865238641874265,11.611103819502,3.61913139519655e-31,2.65592542530352e-28
"ENSG00000144369",1283.76030241207,-1.30894123924029,0.115203035109016,-11.3620377970219,6.46194657146257e-30,4.52659357330953e-27
"ENSG00000196517",241.909752146585,-2.3455389088936,0.209981477668893,-11.1702181303445,5.70406300899231e-29,3.82197021876437e-26
"ENSG00000163697",2417.27204749605,0.917528823177087,0.0832946623260215,11.015457624233,3.21896660582248e-28,2.06697893176376e-25
"ENSG00000135821",19973.8557702949,3.0414797799721,0.277259216564467,10.9698058649203,5.33868971307509e-28,3.29098188672801e-25
"ENSG00000164647",1885.63400540577,1.54728510378807,0.141270768402667,10.9526204273046,6.45526619632638e-28,3.82623489813792e-25
"ENSG00000183044",534.271565515299,1.00637157563097,0.0920303005222328,10.9352199212677,7.82161047215544e-28,4.46440144394028e-25
"ENSG00000276600",308.760109547319,-1.76068607532284,0.161579679029408,-10.8967048696909,1.19507110552695e-27,6.57758600259849e-25
"ENSG00000181467",614.685968923018,-1.26179733985648,0.116561372796651,-10.8251756957064,2.61576997432182e-27,1.39005624394047e-24
"ENSG00000157150",194.422194863874,2.90884665564864,0.269411408227391,10.7970433575459,3.55466108957521e-27,1.82602940171478e-24
"ENSG00000116285",3268.68271249547,2.4402931209389,0.229781824466853,10.6200441510156,2.40447370847311e-26,1.1953336877832e-23
"ENSG00000162692",501.792807644519,-3.53335399498289,0.337335774105409,-10.4742937636932,1.13380707194186e-25,5.46034399553e-23
"ENSG00000163884",574.159587317272,4.5373329150786,0.43644465972076,10.3961242600187,2.58223545281488e-25,1.20590395646455e-22
"ENSG00000103502",3348.3198551397,0.83984111352463,0.0812019656285787,10.3426204898303,4.52005426628178e-25,2.04878106757849e-22
"ENSG00000273259",2004.11998970116,3.36559212042842,0.32574685374364,10.3319251797812,5.05359796129913e-25,2.2251713766166e-22
"ENSG00000110756",990.655950420282,1.4903168137971,0.145743875801544,10.2255879061871,1.52300989825694e-24,6.51975153945492e-22
"ENSG00000166482",27413.0913509521,-0.949210332466677,0.0930823015057511,-10.1975382764685,2.03361635834469e-24,8.47028694552704e-22
"ENSG00000077684",1762.19786787018,1.18965140290678,0.116855169595015,10.1805628884863,2.42156528652654e-24,9.82072174491067e-22
"ENSG00000119138",1717.49764005215,2.12796149330269,0.211876848492847,10.0433884515445,9.82402799010317e-24,3.88200244501231e-21
"ENSG00000185950",2276.01355895182,2.16659173003669,0.220145406188717,9.84163952155969,7.44869355750298e-23,2.86979541036696e-20
"ENSG00000197043",14235.9842719408,0.954764765394004,0.0971777209016726,9.8249347333435,8.79309704784467e-23,3.30513216108132e-20
"ENSG00000103196",3096.22706460365,2.62612381295678,0.268615673608166,9.77650997680632,1.42023526261494e-22,5.21124896003784e-20
"ENSG00000165995",513.120652263358,3.00670450736248,0.308171392140421,9.75659838662911,1.72855923336212e-22,6.19507589426597e-20
"ENSG00000139289",2896.70416714745,-1.07079066814918,0.110091712311352,-9.7263512908298,2.32793665225567e-22,8.15359812452548e-20
"ENSG00000157510",502.252879260653,1.82254767217399,0.187597192453044,9.71521827348336,2.59692022628603e-22,8.89358613495421e-20
"ENSG00000211445",12537.5100078316,3.77026957050418,0.38902557819959,9.69157243580996,3.27447902229088e-22,1.09702165679402e-19
"ENSG00000221869",1996.64301269148,1.51601633387903,0.156703449801782,9.67442858339542,3.87248850325745e-22,1.26976426220639e-19
"ENSG00000158246",70.9167246809058,2.34452028711745,0.244524675534423,9.58807237753561,8.97459872697997e-22,2.88140710378101e-19
"ENSG00000131389",738.380850335762,-1.96392073871516,0.205817245000544,-9.54206115580823,1.40021256368205e-21,4.40381139161307e-19
"ENSG00000181061",2495.82052296136,1.26978688508629,0.134027227399447,9.47409649310951,2.69079182644887e-21,8.29355856748072e-19
"ENSG00000108821",102622.780484375,-1.27728899898342,0.135987552475941,-9.3926905494486,5.84867733545464e-21,1.76733267483709e-18
"ENSG00000145777",152.340526049886,-2.7153704738966,0.289556507471425,-9.37768761478991,6.74354061028301e-21,1.99855200663599e-18
"ENSG00000151726",1467.3386127176,1.57914956976626,0.169039341583995,9.34190558818278,9.46156562853536e-21,2.7511733566294e-18
"ENSG00000003402",3368.7471455545,1.16257395350192,0.124475417400924,9.33978754823031,9.65276094928508e-21,2.75479072202653e-18
"ENSG00000157214",3042.47229085347,1.99790860700548,0.213991233150009,9.33640400868632,9.96614915584969e-21,2.79251499346908e-18
